RegionName,State,City,CountyName,median1,median2,median3,median4,median5,median,lat,lon
30004,GA,Milton,Fulton County,,241674,310064,485106,730723,441892,34.119177,-84.30292
30005,GA,Alpharetta,Fulton County,,206906,348361,444236,559386,389722,34.080035,-84.21929
30009,GA,Alpharetta,Fulton County,,242580,387476,477528,707308,453723,33.844371,-84.47405
30022,GA,Johns Creek,Fulton County,211584,248240,310298,437415,629886,367485,34.026238,-84.24506
30075,GA,Roswell,Fulton County,221246,290910,370749,455408,610156,389694,34.049789,-84.38539
30076,GA,Roswell,Fulton County,,186361,329695,412641,564049,373187,34.032532,-84.31774
30213,GA,Fairburn,Fulton County,,128792,167524,218981,286005,200326,33.565662,-84.59321
30268,GA,Palmetto,Fulton County,,143898,162858,237159,350415,223583,33.527793,-84.69453
30291,GA,Union City,Fulton County,,,147471,190007,215574,184351,33.580878,-84.54611
30303,GA,Atlanta,Fulton County,,260595,296624,,,278610,33.752856,-84.39013
30305,GA,Atlanta,Fulton County,216366,333045,716378,1109322,1643634,803749,33.830054,-84.38472
30306,GA,Atlanta,Fulton County,229378,398241,720104,902673,1277315,705542,33.786755,-84.35149
30307,GA,Atlanta,Fulton County,274941,407707,541008,752630,988142,592886,33.768205,-84.33786
30308,GA,Atlanta,Fulton County,230299,349504,637728,793192,973530,596851,33.771755,-84.38065
30309,GA,Atlanta,Fulton County,242181,377286,677541,1153250,1676882,825428,33.794055,-84.38525
30310,GA,Atlanta,Fulton County,,,242273,,290611,266442,33.727807,-84.41983
30311,GA,Atlanta,Fulton County,,176648,208118,,299205,227990,33.724907,-84.47131
30312,GA,Atlanta,Fulton County,239883,322951,447590,598283,658399,453421,33.745739,-84.3764
30314,GA,Atlanta,Fulton County,,,188959,,,188959,33.758056,-84.42268
30315,GA,Atlanta,Fulton County,,149773,,,258587,204180,33.709595,-84.38365
30316,GA,Atlanta,Fulton County,241490,297985,294761,385381,443135,332550,33.729506,-84.34087
30317,GA,Atlanta,Fulton County,,371352,417249,510581,615975,478789,33.750005,-84.31854
30318,GA,Atlanta,Fulton County,175777,236205,252174,391917,449638,301142,33.786805,-84.437
30324,GA,Atlanta,Fulton County,198909,278393,503853,677809,998599,531513,33.818304,-84.35779
30326,GA,Atlanta,Fulton County,235362,405184,672458,869755,,545690,33.849853,-84.3606
30327,GA,Atlanta,Fulton County,167554,239550,725278,1067145,1686652,777236,33.86427,-84.41972
30328,GA,Sandy Springs,Fulton County,157373,222260,437400,561926,772926,430377,33.931746,-84.37817
30331,GA,Atlanta,Fulton County,,,157458,238268,315088,236938,33.715558,-84.52728
30337,GA,College Park,Fulton County,,169167,195258,257867,301945,231059,33.646984,-84.4538
30342,GA,Sandy Springs,Fulton County,187621,265581,536116,776956,1317535,616762,33.879003,-84.37203
30344,GA,East Point,Fulton County,,153175,174941,201367,233257,190685,33.676258,-84.44977
30350,GA,Sandy Springs,Fulton County,,174433,283721,569400,714966,435630,33.97285,-84.32775
30354,GA,Atlanta,Fulton County,,,155314,179771,201710,178932,33.658834,-84.39682
30363,GA,Atlanta,Fulton County,218832,348378,429260,,,332157,33.844371,-84.47405
